,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,month,day_of_month
0,Quarter1,sweing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,1,1
1,Quarter1,finishing,Thursday,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.8865,1,1
2,Quarter1,sweing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,1,1
3,Quarter1,sweing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,1,1
4,Quarter1,sweing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,1,1
5,Quarter1,sweing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,1,1
6,Quarter1,finishing,Thursday,2,0.75,3.94,,960,0,0.0,0,0,8.0,0.755166667,1,1
7,Quarter1,sweing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,1,1
8,Quarter1,sweing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,1,1
9,Quarter1,sweing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,1,1
10,Quarter1,sweing,Thursday,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,1,1
11,Quarter1,sweing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,1,1
12,Quarter1,sweing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,1,1
13,Quarter1,finishing,Thursday,10,0.65,3.94,,960,0,0.0,0,0,8.0,0.705916667,1,1
14,Quarter1,finishing,Thursday,8,0.75,2.9,,960,0,0.0,0,0,8.0,0.676666667,1,1
15,Quarter1,finishing,Thursday,4,0.75,3.94,,2160,0,0.0,0,0,18.0,0.593055556,1,1
16,Quarter1,finishing,Thursday,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.540729167,1,1
17,Quarter1,sweing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,1,1
18,Quarter1,finishing,Thursday,11,0.7,4.15,,1440,0,0.0,0,0,12.0,0.436326389,1,1
19,Quarter1,finishing,Saturday,4,0.8,4.15,,6600,0,0.0,0,0,20.0,0.988024691,1,3
20,Quarter1,finishing,Saturday,11,0.75,2.9,,5640,0,0.0,0,0,17.0,0.987880435,1,3
21,Quarter1,finishing,Saturday,9,0.8,4.15,,960,0,0.0,0,0,8.0,0.956270833,1,3
22,Quarter1,finishing,Saturday,3,0.75,3.94,,1560,0,0.0,0,0,8.0,0.945277778,1,3
23,Quarter1,finishing,Saturday,1,0.8,3.94,,960,0,0.0,0,0,8.0,0.902916667,1,3
24,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314,1,3
25,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936,1,3
26,Quarter1,sweing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.800318644,1,3
27,Quarter1,sweing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644,1,3
28,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288,1,3
29,Quarter1,sweing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649,1,3
30,Quarter1,sweing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125,1,3
31,Quarter1,sweing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125,1,3
32,Quarter1,sweing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691,1,3
33,Quarter1,finishing,Saturday,2,0.8,4.15,,960,0,0.0,0,0,8.0,0.782447917,1,3
34,Quarter1,sweing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,1,3
35,Quarter1,finishing,Saturday,10,0.7,4.15,,960,0,0.0,0,0,8.0,0.7018125,1,3
36,Quarter1,sweing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038,1,3
